table,bin,explain,type,short,text
timestamps,0,,,,
velmag_ctr,0,,,,
velmag_nose,0,,,,
velmag_tail,0,,,,
x,0,,,,
x_mm,0,,,,
xnose_mm,0,,,,
y,0,,,,
y_mm,0,,,,
yaw,0,,,,
ynose_mm,0,,,,
